Methods,h2,hydrofluoric acid,water,ammonia,methane,O2,CO2,NaCl
qdrift,7.21e+21,1.38e+24,1.48e+24,2.63e+24,4.41e+24,5.38e+24,2.75e+25,4.45e+25
rand_ham,1.80e+19,3.07e+24,1.41e+25,8.33e+25,1.15e+26,1.39e+25,9.56e+26,4.28e+28
taylor_naive,2.64e+13,1.21e+17,1.26e+17,1.66e+17,3.75e+18,4.21e+18,9.83e+18,1.25e+19
taylor_on_the_fly,1.26e+27,5.06e+29,8.33e+29,2.98e+29,5.99e+30,4.01e+31,2.78e+33,4.27e+33
configuration_interaction,1.65e+36,2.38e+39,2.79e+39,3.84e+38,3.66e+39,8.30e+40,2.46e+43,1.54e+46
low_depth_trotter,5.17e+22,5.57e+25,4.58e+25,2.19e+25,3.62e+25,1.88e+26,3.69e+26,2.89e+27
low_depth_taylor,9.17e+11,7.15e+12,5.22e+12,2.76e+12,3.58e+12,6.15e+12,3.86e+12,1.75e+13
low_depth_taylor_on_the_fly,1.19e+23,2.43e+25,4.25e+25,3.34e+25,7.62e+25,9.65e+25,4.60e+26,7.43e+26
linear_t,9.74e+13,2.47e+15,2.81e+15,1.55e+15,2.47e+15,3.85e+15,6.24e+15,1.52e+16
sparsity_low_rank,3.17e+10,1.15e+12,1.48e+12,2.47e+12,4.52e+12,3.82e+12,1.59e+13,1.28e+13
interaction_picture,1.31e+18,5.02e+19,4.38e+19,2.17e+19,3.32e+19,5.93e+19,7.30e+19,2.92e+20
