Methods,h2,hydrofluoric acid,water,ammonia,methane,O2,CO2,NaCl
qdrift,6.16e+16,1.23e+19,1.40e+19,2.38e+19,3.94e+19,5.12e+19,2.47e+20,3.96e+20
rand_ham,3.01e+17,5.10e+22,2.34e+23,1.46e+24,1.95e+24,2.37e+23,1.60e+25,7.34e+26
taylor_naive,4.16e+13,1.85e+17,2.01e+17,2.77e+17,6.09e+18,7.06e+18,1.55e+19,1.96e+19
taylor_on_the_fly,2.23e+27,9.55e+29,1.50e+30,5.17e+29,1.05e+31,7.20e+31,4.77e+33,7.57e+33
configuration_interaction,4.67e+36,2.38e+39,2.79e+39,3.91e+38,1.01e+40,8.34e+40,2.47e+43,4.33e+46
low_depth_trotter,6.82e+22,7.87e+25,6.74e+25,2.98e+25,4.92e+25,2.55e+26,4.87e+26,4.01e+27
shc_trotter,1.39e+22,2.14e+25,2.37e+25,1.46e+25,2.38e+25,1.20e+26,4.48e+26,1.86e+27
low_depth_taylor,2.21e+15,5.53e+16,6.02e+16,3.37e+16,5.14e+16,8.33e+16,1.33e+17,3.23e+17
low_depth_taylor_on_the_fly,8.56e+22,1.81e+25,3.18e+25,2.56e+25,5.64e+25,7.42e+25,3.55e+26,5.68e+26
linear_t,2.77e+13,7.14e+14,7.94e+14,4.45e+14,7.10e+14,1.11e+15,1.75e+15,4.44e+15
sparsity_low_rank,8.65e+09,3.30e+11,4.11e+11,7.13e+11,1.30e+12,1.11e+12,4.41e+12,3.63e+12
interaction_picture,2.07e+18,7.88e+19,6.97e+19,3.53e+19,5.41e+19,9.47e+19,1.18e+20,4.69e+20
